Category,Name,Latitude,Longitude,Explanation
紅葉百選,大雪高原温泉の紅葉,43.6261111,142.9305555,北海道上川町
紅葉百選,卯原内サンゴ草群落,44.0288888,144.0994444,北海道網走市
紅葉百選,サンゴ岬,44.1833333,143.6738888,北海道湧別町
紅葉百選,大沼公園,41.9813888,140.6694444,北海道七飯町
紅葉百選,紅葉山,40.6094444,140.6861111,青森県黒石市
紅葉百選,城ヶ倉渓流,40.6491666,140.8297222,青森県青森市
紅葉百選,奥入瀬渓流,40.5233333,140.9744444,青森県十和田市
紅葉百選,福泉寺,39.3736111,141.5636111,岩手県遠野市
紅葉百選,久慈渓流,40.1738888,141.6502777,岩手県久慈市
紅葉百選,鳴子峡,38.7352777,140.6913888,宮城県大崎市
紅葉百選,阿武隈ライン,37.9186111,140.6883333,宮城県丸森町
紅葉百選,秋ノ宮,38.9594444,140.53,秋田県湯沢市
紅葉百選,岨谷峡,39.7008333,140.3508333,秋田県秋田市
紅葉百選,赤芝峡,38.0788888,139.7088888,山形県小国町
紅葉百選,天元台,37.7788888,140.1366666,山形県米沢市
紅葉百選,田子倉湖,37.3125,139.2825,福島県只見町
紅葉百選,霊山,37.7719444,140.6844444,福島県伊達市、相馬市
紅葉百選,御前山,36.5438888,140.3236111,茨城県城里町
紅葉百選,袋田の滝,36.7644444,140.4069444,茨城県大子町
紅葉百選,いろは坂,36.7294444,139.5255555,栃木県日光市
紅葉百選,龍王峡,36.8636111,139.7127777,栃木県日光市
紅葉百選,白根山,36.6441666,138.5302777,群馬県草津町
紅葉百選,妙義山,36.2916666,138.75,群馬県富岡市
紅葉百選,中津峡,35.9775,138.8402777,埼玉県秩父市
紅葉百選,長瀞,36.0986111,139.1141666,埼玉県長瀞町
紅葉百選,養老渓谷,35.2244444,140.1788888,千葉県大多喜町
紅葉百選,平和公園,35.5927777,140.2022222,千葉県千葉市
紅葉百選,高尾山,35.6252777,139.2436111,東京都八王子市
紅葉百選,多摩湖,35.7633333,139.4216666,東京都東大和市
紅葉百選,箱根,35.2127777,139.01,神奈川県箱根町
紅葉百選,中川温泉,35.4433333,139.0513888,神奈川県山北町
紅葉百選,清津峡,36.9736111,138.7494444,新潟県十日町市
紅葉百選,阿賀野川ライン,37.7038888,139.3794444,新潟県阿賀町
紅葉百選,笹ヶ峰,36.8611111,138.0888888,新潟県妙高市
紅葉百選,有峰湖,36.4908333,137.4558333,富山県富山市
紅葉百選,神通峡,36.5311111,137.2325,富山県富山市
紅葉百選,白山スーパー林道,36.2547222,136.7994444,石川県白山市
紅葉百選,那谷寺,36.3119444,136.4216666,石川県小松市
紅葉百選,西福寺,35.6566666,136.0319444,福井県敦賀市
紅葉百選,万徳寺,35.4691666,135.7847222,福井県小浜市
紅葉百選,四尾連湖畔,35.5294444,138.5172222,山梨県市川三郷町
紅葉百選,紅葉台展望台,35.4838888,138.6791666,山梨県富士河口湖町、鳴沢村
紅葉百選,昇仙峡,35.7402777,138.5652777,山梨県甲府市
紅葉百選,麦草峠,36.0588888,138.3461111,長野県茅野市、佐久穂町
紅葉百選,戸隠高原,36.7536111,138.0783333,長野県長野市
紅葉百選,阿寺渓谷,35.6825,137.6061111,長野県大桑村
紅葉百選,大矢田もみじ谷,35.5555555,136.8683333,岐阜県美濃市
紅葉百選,蘇水峡,35.4647222,137.1641666,岐阜県八百津町
紅葉百選,滑沢渓谷,34.8469444,138.9155555,静岡県伊豆市
紅葉百選,接岨峡,35.1927777,138.1897222,静岡県静岡市
紅葉百選,大入渓谷,35.0988888,137.7644444,愛知県東栄町
紅葉百選,飯盛山,35.1325,137.3161111,愛知県豊田市
紅葉百選,香落谷,34.5783333,136.1161111,三重県名張市
紅葉百選,香肌峡,34.3961111,136.22,三重県松阪市
紅葉百選,生杉ブナ原生林,35.3536111,135.7813888,滋賀県高島市
紅葉百選,百済寺,35.1269444,136.2913888,滋賀県東近江市
紅葉百選,神護寺～高山寺,35.055,135.6708333,京都府京都市
紅葉百選,三千院,35.1188888,135.8341666,京都府京都市
紅葉百選,大江山,35.4561111,135.1288888,京都府福知山市
紅葉百選,箕面川渓谷,34.8505555,135.475,大阪府箕面市
紅葉百選,犬鳴山渓谷,34.3408333,135.3802777,大阪府泉佐野市
紅葉百選,音水渓谷,35.2477777,134.5255555,兵庫県宍粟市
紅葉百選,羅漢渓谷,34.8827777,134.4436111,兵庫県相生市
紅葉百選,高源寺,35.2452777,134.9725,兵庫県丹波市
紅葉百選,長岳寺,34.5608333,135.8519444,奈良県天理市
紅葉百選,談山神社,34.4661111,135.8616666,奈良県桜井市
紅葉百選,護摩壇山高野龍神スカイライン,34.0572222,135.5652777,和歌山県田辺市
紅葉百選,百間山渓谷,33.7144444,135.6191666,和歌山県田辺市
